Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
IR6kpYsrq7w,🎮 En paz descanse 🔴 Descarga mi App GRATIS! link en la bio. 👉 Sígueme en  YouTube: @elchilakas​,"Sep 26, 2025",7,968,0.9425,1,11,0
JRantSZI5FY,🎮 Si con estas rolas subí a Master  👉 Sígueme en Twitch y YouTube: @elchilakas​,"Aug 21, 2025",13,967,1.6491,0,62,3.23
GA63-jq-zdI,Nooooooo #lol #leagueoflegends #gaming #funny  #games #bronce #humor #memes #gamer,"Apr 24, 2024",9,947,2.7035,2,268,3.36
 -Yj_k6sYiDg,No jefa ahorita no me mande por las tortillas  #memes   #humor  #funnymemesvideos,"Jan 5, 2025",6,931,2.1764,0,641,1.25
2vW1fOkk-Lo,🎮 Si es mi compa 🔴Descarga mi App GRATIS! link en la bio 👉 Sígueme Guapo @elchilakas,"Sep 25, 2025",9,925,1.1779,0,8,0
CoR6lF8OmGw,🎮 A donde a jugar tan solo traviesote 👉 Sígueme en Twitch y YouTube:   @elchilakas​,"Aug 12, 2025",8,908,1.0159,0,30,3.33
mdrYokKcE0A,🎮 Ni pepsi 🔴 Descarga mi App GRATIS! link en la bio. 👉 Sígueme en  YouTube: @elchilakas​,"Sep 29, 2025",9,908,1.1111,0,2,0
usT2bspxUMw,🎮 Así es los jugadores de LoL también salimos de antro 👉 Sígueme en YouTube:  ⁨@elchilakas,"Sep 11, 2025",10,903,1.4633,0,49,0
Mw20h_etTFI,🎮 Lo peor de todo es que ya empiezo a notar el daño en mi compa👉 Sígueme en YouTube: @elchilakas​,"Aug 19, 2025",8,884,1.026,1,98,7.14
aHAqz8Ic6PA,Mi singed soporte sacando las prohibidas  #leagueoflegends   #lol  #gaming  #memes  #humor,"Oct 12, 2024",14,869,4.5587,1,167,1.2
pMGaCGNNwEo,"🎮 Nunca se desperdicia una oportunidad para flamear al jungla, nunca 🔴 Descarga mi App! Link en la b","Sep 5, 2025",9,842,1.101,0,69,1.45
c_7lvblCvrU,Solo solin solito  #leagueoflegends   #lol  #gaming  #memes  #humor  #funnymemesvideos,"Nov 16, 2024",14,838,2.5992,0,2344,1.37
7nW4UBUmEm4,🎮 No aguantan nada xd  👉 Sígueme en Twitch y YouTube @elchilakas​,"Aug 15, 2025",10,835,1.1002,0,21,9.52
E0vuUPp3WIY,"Asi me pongo cuando ya voy por la segunda y no gano, pido perdón   #memes  #humor  #funnymemesvideos","Nov 23, 2024",19,835,3.6897,2,254,0.39
AUN2nBsFEjE,"🎮 Guardame este fierro Karnal, tengo un equipo entero que acribillar. 👉 Sigueme Guapo","Sep 21, 2025",12,828,1.0861,0,27,0
CeVPYinQ00o,Aurelionsecz  #lol #leagueoflegends,"Apr 6, 2024",10,828,2.9934,0,115,0.87
w0Z12OvWVPY,🎮 Gente que se respeta juega pura ranked 👉 Sígueme en Twitch y YouTube: @elchilakas,"Aug 5, 2025",14,806,1.4585,0,52,3.85
EMM7E2I5NV8,🎮 Que haría yo sin mi terroncito 👉 Sígueme en Twitch y YouTube: @elchilakasof,"Aug 30, 2025",10,800,0.8862,1,46,2.17
qgioRDnGAFw,"🎮 Y tú que prefieres, Jim Carrey o Adam Sandler?  👉 Sígueme en Twitch y YouTube: @elchilakas","Sep 1, 2025",42,759,3.64,0,96,2.08
7ZEx9Qf4Nqs,🎮 NoOOOooooooooooooo mi compa,"Aug 2, 2025",16,754,1.6932,0,43,4.65
cJ5Ien0IsCM,🎮 La forma mas macha de morir 👉 Sígueme en Twitch y YouTube:  @elchilakas​,"Sep 9, 2025",21,737,1.8483,0,55,1.82
CwSpUUwqiII,🎮Jugar Top vs jugar Bot #humor #leagueoflegends,"Jul 22, 2025",16,731,1.5973,0,53,0
 -tmTj1r96C0,🎮 JAJAJA denle aunque sea un honor al pobre supp 👉 Sígueme en Twitch y YouTube:   @elchilakas​,"Aug 11, 2025",20,729,1.24,0,20,0
dzH17YHgQiE,🎮 Que no descubran que tengo un altar de Faker  #humor #leagueoflegends,"Jul 23, 2025",9,713,1.0759,0,129,3.88
1Gxa7vdE_aA,Presentenle una ruka su compa #leagueoflegends    #lol  #gaming  #memes  #humor  #funnymemesvideos,"Nov 20, 2024",7,679,1.6801,0,250,1.6
ULvlpEsjNeQ,🎮 Recomienden Anexos   👉 Sígueme en Twitch y YouTube: @elchilakas​,"Aug 26, 2025",12,671,0.8923,0,26,0
18h_5BkTt4g,Insstamutear  #leagueoflegends   #lol  #humor #internetmemes #memescortos,"Nov 2, 2024",9,656,1.6477,0,126,2.38
HGbDmDpZzQs,🎮 A kabron pero si yo soy el Top 🔴Descarga mi App GRATIS! link en la bio 👉 Sígueme Guapo @elchilakas,"Sep 24, 2025",17,650,1.4204,0,14,7.14
XhVtcKDFs3U,Prioridades  #leagueoflegends   #lol  #gaming  #memes  #humor  #funnymemes,"Aug 21, 2024",8,648,2.3199,1,94,4.26
Ah9_dHXQ-24,Kingdom Rush 5 Alliance | IMPOSIBLE 3 estrellas | Campaña COMPLETA,"Aug 5, 2024",14036,639,52.6748,2,13286,3.73
6j2Q3jN7DVY,Cosas que solo pasan en el SUPER SERVER DE LAN #memes   #humor,"Mar 15, 2025",8,638,2.2029,0,135,0.74
FjGvbSinGKM,Como cuando te hacer usar la otra mano #leagueoflegends   #lol  #humor #internetmemes #memescortos,"Nov 3, 2024",7,628,1.8722,0,260,1.15
tJGoO2iPC1k,Por eso me mantengo bien humilde :v #leagueoflegends   #lol  #gaming  #memes  #humor,"Sep 11, 2024",25,615,3.6689,0,242,2.07
Q3S9R4sWbCY,Ese monstruo de allá nunca a visto unas luces traseras :v  #leagueoflegends   #lol  #gaming  #memes,"Sep 14, 2024",7,599,1.6985,0,625,1.6
